match_id,season,team1,team2,team1_wins_h2h,team2_wins_h2h,team1_win_pct_h2h,team2_win_pct_h2h,team1_recent_wins,team2_recent_wins,team1_win_pct,team2_win_pct,winner
1216547,2020/21,Royal Challengers Bangalore,Mumbai Indians,2,8,0.2,0.8,10,16,0.4,0.64,Royal Challengers Bangalore
1216532,2020/21,Sunrisers Hyderabad,Delhi Capitals,1,2,0.3333333333333333,0.6666666666666666,9,12,0.36,0.6666666666666666,Sunrisers Hyderabad
1216504,2020/21,Kolkata Knight Riders,Rajasthan Royals,5,5,0.5,0.5,13,11,0.52,0.44,Kolkata Knight Riders
1216503,2020/21,Mumbai Indians,Kings XI Punjab,6,4,0.6,0.4,16,8,0.64,0.32,Mumbai Indians
1216516,2020/21,Sunrisers Hyderabad,Chennai Super Kings,3,7,0.3,0.7,9,15,0.36,0.6,Sunrisers Hyderabad
1216514,2020/21,Rajasthan Royals,Royal Challengers Bangalore,6,2,0.6,0.2,11,11,0.44,0.44,Royal Challengers Bangalore
1216515,2020/21,Delhi Capitals,Kolkata Knight Riders,2,0,1.0,0.0,12,13,0.631578947368421,0.52,Delhi Capitals
1216513,2020/21,Kings XI Punjab,Chennai Super Kings,5,5,0.5,0.5,8,14,0.32,0.56,Chennai Super Kings
1216538,2020/21,Mumbai Indians,Sunrisers Hyderabad,5,5,0.5,0.5,16,9,0.64,0.36,Mumbai Indians
1216519,2020/21,Delhi Capitals,Royal Challengers Bangalore,2,0,1.0,0.0,13,12,0.65,0.48,Delhi Capitals
1216511,2020/21,Mumbai Indians,Rajasthan Royals,5,5,0.5,0.5,16,11,0.64,0.44,Mumbai Indians
1216501,2020/21,Kolkata Knight Riders,Chennai Super Kings,3,7,0.3,0.7,12,15,0.48,0.6,Kolkata Knight Riders
1216542,2020/21,Sunrisers Hyderabad,Kings XI Punjab,8,2,0.8,0.2,9,8,0.36,0.32,Sunrisers Hyderabad
1216500,2020/21,Delhi Capitals,Rajasthan Royals,2,0,1.0,0.0,14,11,0.6666666666666666,0.44,Delhi Capitals
1216523,2020/21,Kolkata Knight Riders,Kings XI Punjab,8,2,0.8,0.2,13,7,0.52,0.28,Kolkata Knight Riders
1216525,2020/21,Royal Challengers Bangalore,Chennai Super Kings,3,7,0.3,0.7,11,14,0.44,0.56,Royal Challengers Bangalore
1216507,2020/21,Sunrisers Hyderabad,Rajasthan Royals,6,4,0.6,0.4,10,10,0.4,0.4,Rajasthan Royals
1216529,2020/21,Delhi Capitals,Mumbai Indians,1,1,0.5,0.5,15,16,0.6818181818181818,0.64,Mumbai Indians
1216540,2020/21,Royal Challengers Bangalore,Kolkata Knight Riders,4,6,0.4,0.6,12,14,0.48,0.56,Royal Challengers Bangalore
1216528,2020/21,Chennai Super Kings,Sunrisers Hyderabad,6,4,0.6,0.4,13,10,0.52,0.4,Chennai Super Kings
1216543,2020/21,Delhi Capitals,Rajasthan Royals,3,0,1.0,0.0,15,10,0.6521739130434783,0.4,Delhi Capitals
1216531,2020/21,Royal Challengers Bangalore,Kings XI Punjab,6,4,0.6,0.4,13,7,0.52,0.28,Kings XI Punjab
1216526,2020/21,Kolkata Knight Riders,Mumbai Indians,1,9,0.1,0.9,13,17,0.52,0.68,Mumbai Indians
1216509,2020/21,Chennai Super Kings,Delhi Capitals,3,1,0.75,0.25,13,16,0.52,0.6666666666666666,Delhi Capitals
1216522,2020/21,Rajasthan Royals,Royal Challengers Bangalore,5,3,0.5,0.3,9,12,0.36,0.48,Royal Challengers Bangalore
1216512,2020/21,Kolkata Knight Riders,Sunrisers Hyderabad,5,5,0.5,0.5,12,10,0.48,0.4,Kolkata Knight Riders
1216517,2020/21,Mumbai Indians,Kings XI Punjab,7,3,0.7,0.3,17,8,0.68,0.32,Kings XI Punjab
1216533,2020/21,Chennai Super Kings,Rajasthan Royals,6,4,0.6,0.4,12,9,0.48,0.36,Rajasthan Royals
1216546,2020/21,Delhi Capitals,Kings XI Punjab,2,1,0.6666666666666666,0.3333333333333333,17,9,0.68,0.36,Kings XI Punjab
1216494,2020/21,Kolkata Knight Riders,Royal Challengers Bangalore,6,4,0.6,0.4,12,12,0.48,0.48,Royal Challengers Bangalore
1216518,2020/21,Rajasthan Royals,Sunrisers Hyderabad,5,5,0.5,0.5,9,9,0.36,0.36,Sunrisers Hyderabad
1216521,2020/21,Chennai Super Kings,Mumbai Indians,2,8,0.2,0.8,11,17,0.44,0.68,Mumbai Indians
1216497,2020/21,Kolkata Knight Riders,Delhi Capitals,0,3,0.0,1.0,11,16,0.44,0.64,Kolkata Knight Riders
