match_id,match_date,format,team1,team2,team1_wins_h2h,team2_wins_h2h,team1_win_pct_h2h,team2_win_pct_h2h,team1_recent_wins,team2_recent_wins,team1_win_pct,team2_win_pct,venue,venue_country,winner
251469,2006-08-19,ODI,Canada,Bermuda,0,1,0.0,1.0,1,1,0.07692307692307693,0.3333333333333333,Toronto Cricket,Canada,Bermuda
251470,2006-08-21,ODI,Bermuda,Canada,2,0,1.0,0.0,2,1,0.5,0.07142857142857142,Toronto Cricket,Canada,Bermuda
225245,2006-08-30,ODI,England,Pakistan,5,5,0.5,0.5,7,15,0.28,0.6,Sophia Gardens,England,
225246,2006-09-02,ODI,England,Pakistan,5,4,0.5,0.4,6,15,0.24,0.6,Lord's,England,Pakistan
225247,2006-09-05,ODI,England,Pakistan,4,5,0.4,0.5,6,16,0.24,0.64,The Rose Bowl,England,Pakistan
225248,2006-09-08,ODI,Pakistan,England,5,4,0.5,0.4,16,5,0.64,0.2,Trent Bridge,England,England
225249,2006-09-10,ODI,Pakistan,England,5,4,0.5,0.4,15,6,0.6,0.24,Edgbaston,England,England
256606,2006-09-12,ODI,Australia,West Indies,6,3,0.6,0.3,18,11,0.72,0.44,Kinrara Academy Oval,Malaysia,Australia
256607,2006-09-14,ODI,India,West Indies,4,6,0.4,0.6,15,11,0.6,0.44,Kinrara Academy Oval,Malaysia,West Indies
255961,2006-09-15,ODI,Zimbabwe,South Africa,0,10,0.0,1.0,8,15,0.32,0.6,Goodyear Park,South Africa,South Africa
